"ViolentCrimesPerPop","population","PctForeignBorn","PctHomeless","PopDens","perCapInc","PctUsePubTrans","PctLess9thGrade","PctRecentImmig","NumInShelters","racepctblack","PctEmploy","MalePctNevMarr","PctWorkMom","PctPopUnderPov","NumStreet","medIncome","PctPersDenseHous"
"Glastonburytown,CT",53.7,27901,6.81,0,524.3,26073,2.49,3.27,0.64,0,0.93,69.97,26.47,70.71,2.35,0,57464,0.6
"Midvalecity,UT",493.73,11886,7.82,0.03,3346.3,9631,3.72,8.54,1.48,0,0.39,63.96,30.6,65.88,20.7,4,21183,7.67
"Bloomingtoncity,IN",815.98,60633,6.79,0.1,3871.8,10616,3.45,4.65,3.03,61,4.03,50.86,64.28,67.09,31.46,0,18393,2.85
"MountainViewcity,CA",411.23,67460,23.03,0.17,5410.7,22436,4.19,6.41,6.45,112,5.03,75.75,40.45,71.9,6.22,5,42431,8.6
"Madisoncity,WI",321.68,191262,5.7,0.11,3196.2,15143,7.74,3.84,2.01,209,4.24,68.16,47.42,78.05,16.05,5,29420,2.98
"Athenscity,TX",1300.88,10967,5.19,0,768.4,10766,0,17.88,1.72,0,19.72,52.6,26.53,66.91,21.95,0,18870,6.88
"Somersworthcity,NH",80.12,11249,3.81,0.15,1110.1,13495,1.13,12,0.17,17,0.73,69.64,28.26,77.15,6.75,0,32886,1.9
"Braintreetown,MA",421.75,33836,6.62,0.01,2351.7,18624,7.87,3.72,0.38,0,0.6,61.7,33.26,67.91,4.1,2,44734,1.02
"Dovercity,OH",66.33,11329,1.78,0,2301.7,12818,0.3,8.55,0,0,1.37,54.27,20.97,67.84,7.46,0,27688,0.72
"CollegeParkcity,GA",1874.95,20457,6.41,0.02,2035.9,10370,17.9,9.18,1.23,0,74.45,68.81,45.52,77.55,23.37,4,22194,8.75
"Elizabethcity,NJ",1311.2,110002,36.9,0.09,8617.3,12112,10.61,20.43,5.78,61,19.85,59.6,38.32,65.04,16.12,43,27631,11.54
"Smyrnatown,TN",292,13647,0.87,0,716.2,11864,0.11,9.55,0,0,6.75,68.77,24.94,73.54,10.96,0,31155,2.73
"Clarksvillecity,TN",1130.86,75494,3.71,0,997.3,11252,1.59,7.4,0.62,0,20.9,67.46,29.05,65.06,13.3,0,25341,3.69
"Patersoncity,NJ",1571.14,140891,25.09,0.25,16110.7,10518,10.55,22.45,4.16,252,36.01,59.88,42.05,67.56,18.54,94,26960,14.33
"Dovercity,DE",887.29,27630,3.75,0.09,1251.2,14105,0.62,6.21,0.38,22,30.92,66.79,38.66,74.91,12.45,3,31308,2.68
"Ankenycity,IA",65.71,18482,0.61,0,1356.3,14557,0.24,1.84,0.04,0,0.39,80.9,27.53,79.76,5.63,0,36582,1.85
"SomersPointcity,NJ",207.79,11216,4.81,0,2685.8,17783,2.89,6.2,0.62,0,4.07,68.73,30.95,78.5,6.25,0,31793,1.63
"Orindacity,CA",51.42,16642,10.86,0,1275.8,40558,11.77,0.62,0.49,0,0.83,61.31,20.53,58.23,2.36,0,80968,0.33
"Sheffieldcity,AL",241.31,10380,0.62,0.08,1526.5,10595,0.17,15.03,0.35,8,23.65,53.23,24.24,69.21,20.96,0,20134,2.27
"Fontanacity,CA",1333.23,87535,16.48,0.04,2372,11585,0.6,10.59,2.51,10,8.7,63.45,28.9,57.41,11.4,25,35558,13.4
"Sunnysidecity,WA",944.85,11238,22.4,0.02,3030.7,8173,0.19,32.85,3.49,0,0.29,51.7,33.4,62.9,27.93,2,20393,21.32
"SpanishForkcity,UT",108.49,11272,1.14,0,1432.6,8780,0.9,3.16,0.11,0,0.01,61.83,23.23,61.97,7.55,0,29023,5.84
"Douglascity,GA",1724.14,10464,1.26,0,873.5,11543,0,15.48,0,0,44.43,53.51,32.25,67.56,26.24,0,19038,6.51
"Germantownvillage,WI",61.12,13658,2.17,0,383,16608,0.65,4.23,0,0,0.42,76.04,25.46,78.25,2.3,0,43486,0.91
"Irmotown,SC",179.32,11280,1.11,0,2775.6,14684,0.2,0.74,0.04,0,10.93,82.33,18.67,82.43,2.34,0,42281,1.7
"Mitchellcity,SD",198.79,13798,0.93,0,1418.4,10272,0.22,14.39,0.05,0,0.16,62.6,28.83,82.19,14.51,0,20146,1.8
"Roseburgcity,OR",322.81,17032,3.15,0.71,2209.7,11346,0.69,7.09,0.56,118,0.22,53.5,23.73,67.26,14.7,3,23745,3.61
"Crestwoodcity,MO",124.32,11234,3.63,0,3400.1,18481,1.19,5.48,0.06,0,0.55,60.85,22.38,66.16,3.36,0,40926,0.58
"HasbrouckHeightsborough,NJ",84.88,11488,11.64,0,7345.3,21339,9.64,6.18,1.56,0,0.81,63.5,29.86,57.83,2.51,0,44672,1.24
"LaGrandecity,OR",170.15,11766,2.24,0.06,2831.1,10580,0,6.61,0.77,7,0.75,56.05,31.1,70.38,18.98,0,21318,2.65
"Kaukaunacity,WI",74.96,11982,1.14,0,2456.7,11954,0.81,11.74,0.23,0,0.06,64.15,26.35,74.09,7.67,0,30743,2.08
"Bellevuecity,WA",223.06,86874,13.29,0.04,3175.7,23816,6.81,1.84,3.29,18,2.23,70.55,30.94,66.89,5.58,13,43800,2.46
"RiverFallscity,WI",103.33,10610,2.27,0,2529.6,11991,0.91,7.85,0.42,0,0.63,68.63,52.79,82.21,14.69,0,30535,1.75
"Milwaukiecity,OR",245.51,18692,4.35,0.07,3789.9,13955,3.83,4.17,0.17,12,0.64,64.16,25.99,71.65,8.35,1,29693,2.04
"Clemsoncity,SC",358.97,11096,6.5,0,1503.5,13772,0,5.46,2.24,0,12.22,54.64,59.48,68.97,28.65,0,22265,2.03
"Marlboroughcity,MA",505.1,31813,8.9,0.21,1456.1,18471,0.65,5.57,2.69,66,1.8,71.03,35.32,72.69,5.65,0,41315,1.84
"Greenbeltcity,MD",551.32,21096,15.35,0.01,3426.9,19323,9.48,2.49,3.71,2,19.36,76.05,47.21,76.44,9.61,0,38956,4.97
"Stantoncity,CA",997.03,30491,30.86,0.14,9422.4,12803,3.65,13.83,7.57,42,2.27,65.39,35.38,63.87,13.62,0,33367,17.83
"Florencetownship,NJ",295.04,10266,3.57,0,1020.1,15313,0.26,11.03,0.17,0,7.02,67.39,26.31,72.49,6.77,0,37764,1.99
"Harrisonburgcity,VA",151.78,30707,2.41,0.01,1687.6,11607,2.01,10.3,0.82,2,6.57,56,53.24,71.42,21.46,0,25312,1.25
"Trumbulltown,CT",64.61,32016,9.57,0,1325.9,25048,1.5,7.75,0.56,0,1.27,63.74,25.84,65.3,1.98,0,60634,0.4
"BatonRougecity,LA",2978.69,219531,2.97,0.06,2865.6,12398,1.88,8.8,0.76,131,43.89,56.17,40.74,68.76,26.17,7,21898,5.33
"Watertowncity,SD",158.85,17592,0.65,0,1286.7,10660,0.06,14.04,0.11,0,0.07,64.36,26.84,84.77,13.44,0,20606,1.73
"Springfieldcity,TN",1390.25,11227,0.58,0,1574.2,11256,0.31,19.77,0.2,0,30.21,56.13,26.54,70.02,19.55,0,21645,3.77
"Miamitownship,OH",133.87,28199,1.24,0,819.5,16397,0.98,5.49,0.11,0,1.09,70.86,22.86,72.21,4.3,0,42530,0.71
"CentralFallscity,RI",1483.15,17637,27.7,0.04,14073.6,8940,2.29,24.71,6.14,7,4.22,56.41,38.27,64.35,22.33,0,18617,7.74
"Reedleycity,CA",724.94,15791,28.4,0,3912.5,8791,0.91,31.51,7.05,0,0.39,54.83,34.22,66.27,22.42,0,24128,20.6
"HotSpringscity,AR",872.72,32462,2.72,0.2,1086.8,11461,1.06,14.8,0.05,62,15.46,46.71,23.15,68.66,24.92,3,15708,2.35
"MapleShadetownship,NJ",300.04,19211,4.18,0,4818.2,16514,4.13,7.52,0.59,0,5.61,67.98,32.19,70.78,2.77,0,32955,1.45
"Huntsvillecity,TX",744.75,27925,5.2,0.01,1285.9,9273,0.21,9.59,0.71,3,26.72,40.82,45.7,74.98,30,0,17876,7.18
"Vidorcity,TX",267.96,10935,0.51,0,999.5,12014,0,11.18,0,0,0,54.92,21.8,57.49,15.12,0,24568,4.56
"Hobbscity,NM",1318.22,29115,6.1,0.05,1487.3,10230,0.19,16.05,0.49,14,7.45,54.5,23.67,48.88,24.8,0,22807,8.87
"SanMarinocity,CA",198.88,12959,28.61,0,3322.8,49537,0.99,1.51,4.51,0,0.25,56.28,26.64,57.48,3.88,0,100077,4.49
"Auburncity,ME",72.71,24309,2.86,0,392.5,13511,0.58,10.24,0.54,0,0.48,61.75,28.79,72.69,10.91,0,27493,1.26
"Salemcity,VA",102.2,23756,1.69,0.02,1575.7,14467,0.06,10.42,0.16,1,4.48,61.98,26.46,75.08,5.16,4,29047,0.92
"FortMadisoncity,IA",88.3,11618,1.02,0,1211.1,11065,0.44,9.6,0.08,0,4.86,52.13,28.46,73.77,12.84,0,22098,1
"Inglewoodcity,CA",2078.85,109602,28.9,0.1,11537.1,11899,7.5,17.16,6.25,10,51.88,62.87,42.29,67.29,16.47,95,29881,24.45
"Crawfordsvillecity,IN",62.53,13584,1.16,0,1733.5,11341,0.35,6.8,0.18,0,1.27,57.62,33.16,75.47,14.9,0,23156,1.29
"Nilescity,OH",427.27,21128,2.25,0,2404.8,11919,0.34,8.49,0.09,0,1.96,55.06,27.46,59.83,12.66,0,25547,1.25
"SouthPasadenacity,CA",348.5,23936,23.43,0,6731.2,26106,1.71,3.88,3.03,0,3.11,68.65,36.33,65.11,5,0,43043,5.75
"Kinstoncity,NC",1336.03,25295,0.94,0.04,1859.4,10490,0.4,19.2,0.02,9,57.78,51.87,35.81,77.27,25.16,0,18253,3.74
"GreenBaycity,WI",435.6,96466,2.4,0.16,2124.3,12969,2.18,9.08,0.6,150,0.47,64.66,31.71,71.31,13.39,1,26770,2.25
"Ellensburgcity,WA",196.79,12361,4.64,0,2414.3,8465,0.24,5.15,1.27,0,1,51.99,58.39,65.87,33.88,0,14456,2.59
"Tulsacity,OK",1304.78,367302,3,0.12,1931.9,15434,1.5,5.03,0.58,334,13.57,62.75,28.45,66.88,14.99,91,25708,2.8
"Piscatawaytownship,NJ",313.89,47089,18.31,0,2419.6,17047,5.88,5.84,3.02,0,17.62,68.01,44.51,74.08,2.88,0,50451,4.23
"Everettcity,MA",1678.08,35701,11.31,0,10186.3,14220,17.59,9.36,1.75,0,3.17,60.31,37.33,59.4,9.6,0,30786,2.52
"Hudsontown,MA",151.13,17233,14.29,0,1445.6,18327,0.6,8.98,0.99,0,0.86,71.41,30.7,72.85,3.61,0,45191,1.37
"PortOrangecity,FL",184.39,35317,5.35,0,1694,13391,0.6,5.35,0.14,0,1,55.3,20.81,77.94,8.22,0,26472,1.53
"Herndontown,VA",127.65,16139,18.22,0.11,3684.7,19314,3.15,5.19,4.71,18,9.65,84.67,32.58,82.18,3.19,0,53840,5.05
"Gillettecity,WY",375.3,17635,0.65,0.08,1314.9,13671,1.88,2.38,0.16,14,0.18,72.94,25.34,68.48,9.69,0,35532,2.21
"Manchestercity,NH",223.14,99567,6.77,0.15,2910.9,15111,1.41,11.74,1.06,147,0.97,65.92,33.47,76.26,8.99,1,31911,1.61
"BethelParkborough,PA",58.24,33823,2.35,0,2793.2,17603,11.79,3.29,0.11,0,1.04,62.96,23.88,61.13,3.81,0,41149,0.42
"Aberdeentown,MD",1032.91,13087,5.01,0,2389.5,13041,0.37,7.93,0.15,0,24.9,65.23,29.33,74.09,10.66,0,30043,3.3
"Amesburytown,MA",566.68,14997,3.4,0.13,1166.8,15423,0.84,8.49,0.19,19,0.69,64.89,30.05,70.49,6.25,0,37889,1.67
"PoplarBluffcity,MO",457.72,16996,1.11,0.18,1584.9,9100,0.56,21.98,0.16,31,8.45,49.67,22.85,70.45,26.82,0,14868,2.67
"Uxbridgetown,MA",645.16,10415,2.26,0,340.2,16531,0.26,9.61,0.1,0,0.35,65.87,28.82,73.74,5.87,0,40059,1.46
"Westminstercity,MD",485.77,13068,1.64,0.15,2283.7,14148,0.76,9.51,0.41,19,5.52,64.03,35.27,73.97,8.51,0,31298,1.33
"Northboroughtown,MA",209.22,11929,7.84,0,621.2,22795,0.61,2.43,1.15,0,0.75,73.62,27.54,70.49,2.82,0,57963,0.64
"Springdalecity,OH",280.93,10621,2.63,0,2081.4,17310,1.17,6.65,0.4,0,13.64,67.33,26.73,74.4,4.01,0,38128,1.2
"Garnertown,NC",281.32,14967,1.51,0,1269.7,16348,0.37,6.84,0.09,0,17.59,73.48,25.52,85.27,4.63,0,36999,1.2
"PalosVerdesEstatescity,CA",99.9,13512,16.53,0,2713.3,50273,0.88,1.87,3.19,0,1.15,60.31,22.15,49.59,2.25,0,101320,0.93
"Williamsportcity,PA",316.55,31933,1.15,0.21,3468.4,10276,5.42,8.14,0.2,68,6.71,52.76,37.12,63.99,21.12,0,20290,2.23
"Poquosoncity,VA",355.9,11005,2.1,0,684.6,16930,0.44,5.46,0.06,0,0.76,68.46,23.44,70.86,2.84,0,43236,0.98
"Muskegocity,WI",29.8,16813,1.92,0,519.7,15983,0.53,3.88,0.1,0,0.08,73.97,24.16,76.56,2.66,0,46119,1.08
"Goldencity,CO",286.09,13116,5.27,0,1685,14969,2.86,3.3,1.76,0,0.99,64.64,42.9,74.22,11.52,0,29099,1.9
"Coppellcity,TX",44.22,16881,7.37,0,1106.5,22512,0.72,1.79,1.2,0,2.29,82.41,18.3,70.69,2.51,0,58815,2.37
"Pomonacity,CA",1627.33,131723,31.57,0.16,5570.2,10728,3.24,21.66,6.56,211,14.43,60.3,39.85,57.38,18.43,6,32132,25.49
"Manitowoccity,WI",110.97,32520,2.7,0,2177.5,12286,0.91,12.71,0.95,0,0.22,57.24,27.52,74.55,10.65,0,24202,1.53
"Roswellcity,NM",816.02,44654,6.41,0.04,1478.6,10830,0.07,14.59,0.6,15,2.56,53.17,26.89,65.74,21.62,2,21870,7.01
"Eastontown,MA",138.91,19807,3.9,0,672.2,19016,3.26,2.77,0.29,0,1.7,70.07,33.62,72.82,4,0,50647,0.84
"Hermistoncity,OR",177.73,10040,8.93,0,1715.7,9729,0,11.14,2.07,0,0.88,58.31,25.57,68.25,19.76,0,20674,7.22
"Carrborotown,NC",585.46,11553,6.46,0.06,3156.6,12604,9.72,3.41,2.91,7,16.71,71.79,58.22,69.44,29.43,0,19799,1.56
"LittleRockcity,AR",3255.71,175795,2.07,0.08,1649.7,15307,1.44,6.11,0.46,140,33.98,64.12,31.08,75.92,14.62,1,26889,3.06
"Thomasvillecity,GA",591.24,17457,0.9,0,1162.3,11204,0,15.97,0,0,52.56,56,28.23,68.39,25.98,0,20349,5.22
"GrandJunctioncity,CO",577.61,29034,3.42,0.25,1887.3,11723,0.13,8.37,0.41,45,0.82,52.4,29.98,66.44,21.65,29,19042,2.33
"Beltoncity,TX",288.65,12476,5.67,0,1118.3,9359,0.24,19.11,1.2,0,8.68,51.54,29.54,65.14,25.98,0,18549,7.09
"Gallupcity,NM",1607.83,19154,4.77,0.55,1675.5,10559,0.2,11.24,0.62,88,1.16,65.16,31,69.74,22.96,18,26622,11.96
"NiagaraFallscity,NY",736.68,61840,6.44,0.26,4248.1,10904,3,11.7,0.31,163,15.58,51.23,32.48,63.99,18.64,0,20641,1.65
"Lakewoodtownship,NJ",581.98,45048,10.54,0.24,1751.5,12967,3.9,11.31,1.04,101,14.11,48.9,28.58,62,16.09,5,29211,5.53
"Menashacity,WI",44.64,14638,1.76,0,3283.8,13074,0.68,8.78,0.09,0,0.03,65.71,28.63,73.34,9.92,0,27264,1.26
"BrownDeervillage,WI",141.75,12236,4.58,0,2682.6,18319,1.73,6.98,0.47,0,6.45,71.01,28.3,76.74,4.54,0,44495,0.74
"NorthCharlestoncity,SC",2264.09,70218,2.31,0.05,1354.9,10315,3.02,8.24,0.36,28,34.35,71.56,41.14,64.55,21.73,10,21824,5.87
"NorthMiamicity,FL",1818.82,49998,37.18,0.05,5728.5,13297,7.87,11.25,5.5,10,31.88,62.11,33.22,76.96,15.48,14,24898,15.46
"Waukeshacity,WI",138.56,56958,3.1,0.02,3175.3,14915,1.45,5.89,0.24,13,0.56,72.49,31.43,75.63,6.13,0,36192,2.26
"GroveCitycity,OH",122.9,19661,0.77,0,1879.5,14147,1.69,4.85,0.07,0,0.54,69.54,23.91,75.78,5.82,0,34350,1.07
"Smithfieldtown,RI",75.88,19163,3.54,0,695.7,15448,1.18,6.92,0.15,0,0.55,63,37.77,70.78,4.34,0,42523,0.83
"Bluefieldcity,WV",324.52,12756,1.4,0.07,1461.5,13149,1.25,12.26,0,9,22.62,46.99,24.97,60.18,19.92,0,21319,1.68
"Tarborotown,NC",1264.79,11037,0.34,0.14,1175.6,12277,0,15.56,0,16,31.56,60.47,27.11,81.54,13.39,0,24375,2.9
"Pennsaukentownship,NJ",559.86,34738,4.15,0,3181.5,14720,5.23,8.08,0.16,0,14.69,62.6,29.82,65.91,5.46,0,36097,1.97
"Perrysburgcity,OH",21.66,12551,1.92,0,2599.8,21223,1.52,2.66,0.08,0,0.64,65.95,23.04,66.72,2.12,0,44277,0.46
"Cullmancity,AL",389.55,13367,0.31,0.04,825.7,12559,0.11,17.86,0.14,4,0.2,51.16,21.34,69.4,17.25,1,21114,1.03
"Veronatownship,NJ",188.13,13597,6.91,0,4770.2,27183,6.56,2.81,0.79,0,1.76,64.2,26.48,61.62,1.73,0,55248,0.65
"Fultoncity,NY",169.44,12929,2.58,0.01,3318.2,11331,2.15,8.95,0.16,0,0.56,53.06,29.06,60.18,16.3,1,22955,1.82
"Jacksoncity,MS",1424.74,196637,1.02,0.05,1741.2,12216,1.86,9.01,0.28,93,55.75,59.11,36.89,75.56,22.68,2,23270,6.2
"Azusacity,CA",658.05,41333,29.51,0,4433,11038,2.57,18.49,6.3,0,3.84,64.44,39.83,62.26,14.28,0,31889,21.61
"Barringtontown,RI",82.38,15849,4.49,0,1817.1,24965,2.45,2.91,0.66,0,0.33,64.35,24.88,62.69,1.8,0,53058,0.43
"UpperChichestertownship,PA",281.76,15004,1.82,0,2156.5,15062,1.47,6.81,0.04,0,7.95,68.22,28.62,70.49,4.15,0,40216,1.4
"Homewoodcity,AL",374.05,22922,3.29,0,3001.8,17582,0.66,2.64,0.64,0,8.23,63.2,35.85,74.28,6.66,0,30516,0.77
"Englewoodcity,NJ",623.55,24850,24.81,0.08,4870.3,25820,15.52,7.9,3.63,21,39.47,66.2,34.27,67.48,8.42,0,46758,6.44
"Daytoncity,OH",1629.43,182044,1.43,0.23,3194.8,9946,7.48,10.74,0.18,406,40.43,51.62,38.43,58.68,26.53,5,19779,2.96
"SanLeandrocity,CA",904.94,68223,17.18,0.03,5022.3,17563,9.39,7.34,2.01,17,5.75,60.33,28.48,71.51,4.98,5,35681,5.19
"Simpsonvilletown,SC",153.93,11708,2.33,0,2046.9,13698,0.16,8.09,0.09,0,10.13,74.76,22.61,77.18,4.04,0,34990,2.02
"Tooelecity,UT",198.28,13887,1.72,0,1079.2,11090,0.89,3.44,0.26,0,0.36,57.91,23.34,72.05,11.94,0,29784,3.43
"CanonCitycity,CO",223.06,12687,1.95,0.06,1554,10166,0,11.46,0.11,7,1.35,43.99,21.76,73.12,18.95,0,18423,1.88
"Summervilletown,SC",699.98,22519,2,0,1558.2,12556,0.18,5.7,0.15,0,17.84,67.32,24.87,67.8,9.83,0,31448,3.04
"WestWhitelandtownship,PA",71.35,12403,4.5,0,923.7,21387,4.03,2.15,0.67,0,4.2,72.13,29.44,58.9,1.55,0,50598,0.59
"WhitePlainscity,NY",366.34,48718,21.17,1.11,4794.1,24330,18.8,7.88,3.87,539,19.03,64.7,36.51,69.55,7.68,3,44004,6.12
"DelCitycity,OK",292.91,23928,2.83,0,3064.5,11039,0.33,5.45,0.14,0,10.97,60.32,24,72.65,14.87,0,25550,3.95
"Ridgelandcity,MS",252.9,11714,1.25,0,1049.6,16915,0.47,2.84,0.2,0,12.05,81.4,33.4,80.31,4.88,0,31938,1.39
"Laurelcity,MD",626.09,19438,7.05,0,5924.1,21615,4.5,3.77,1.07,0,13.98,82.95,35.64,79.37,3.5,0,44002,2.96
"Collingswoodborough,NJ",408.98,15289,4.75,0,8070.6,15535,14.45,6.37,1.01,0,3.04,66.51,34.91,71.74,6.09,0,33026,1.47
"LosAltoscity,CA",105.84,26303,13.15,0.03,3985.3,37776,1.49,1.07,0.96,8,0.41,63.88,22.63,67.39,1.23,0,79579,1.06
"Owassocity,OK",145.47,11151,1.09,0,1793.9,12491,0.1,5.53,0.06,0,1.33,68.09,19.04,69.55,8.57,0,33000,1.95
"Milpitascity,CA",327.36,50686,30.77,0,3556.4,17520,3.02,7.41,4.65,0,5.86,68,35.3,74.75,4.9,0,55730,16.16
"Monroetown,CT",99.13,16896,5.75,0,624.4,21441,1.17,4.04,0.09,0,1.65,72.06,26.74,65.45,2.09,0,59967,0.59
"Middletowntownship,NJ",68.68,68183,6.98,0,1600.5,21882,9.72,4.77,0.42,0,1.9,65.6,28.96,63.71,2.43,0,54053,0.98
"SanRafaelcity,CA",560.45,48404,21.36,0.38,2816.8,24230,12.1,5.82,5.2,170,2.94,65.22,36.18,70.1,8.08,16,41922,5.93
"ElPasocity,TX",1035.05,515342,23.37,0.09,2027.3,9603,3.13,22.23,3.18,359,3.44,55.19,31.32,57.49,25.32,95,23460,14.01
"Pembroketown,MA",303.91,14544,2.65,0,642.6,16531,1.79,2.4,0.08,0,0.5,71.19,28.45,70.73,4.11,0,46932,1.2
"Wheelingcity,WV",534.04,34882,1.61,0.03,2440.7,12665,4.19,11.51,0.11,0,4.46,52.57,29.65,68.78,16.91,9,21053,1.09
"Northbridgetown,MA",674.75,13371,3.8,0,750.7,14159,0.25,10.5,0.04,0,0.43,63.46,28.71,73.2,5.86,0,36634,1.26
"Moultriecity,GA",1278.63,14865,1.01,0.12,1097.9,9714,0.39,23.43,0.05,18,45.09,51.85,32.43,66.85,34.5,0,16574,6.16
"ElRenocity,OK",509.56,15414,2.32,0.03,186.8,10161,0,11.13,0.23,5,9,48.65,25.21,71.28,20.96,0,22027,3.86
"Bergenfieldborough,NJ",151.91,24458,20.63,0.08,8160.3,18713,11.71,7.11,2.22,19,4.19,66.85,30.08,70.84,3.34,0,45713,3.35
"SpringGardentownship,PA",70.19,11207,2.26,0,1627.4,21610,0.63,5.78,0.17,0,1.02,58.18,28.84,80.26,4.73,0,37044,0.92
"LomaLindacity,CA",350.03,17400,29.22,0.32,2402,15365,1.19,7.65,4.57,35,6.37,59.42,32.35,64.01,11.76,21,33265,7.92
"Moscowcity,ID",159.72,18519,5.76,0,3730.7,10204,0.12,3.54,2.89,0,0.88,56.08,52.89,69.85,23.4,0,19977,3.1
"Hurstcity,TX",860.27,33574,3.7,0,3283.8,16621,0.1,3.47,0.56,0,2.61,70.08,23.81,73.77,7.77,0,37473,3.04
"TerreHautecity,IN",321.08,57483,2.5,0.13,2006.2,10527,1.25,8.83,0.8,73,9.42,50.05,38.56,68.92,20.43,0,19118,2.18
"Brawleycity,CA",989.2,18923,23.86,0.04,3675.8,9408,0.7,31.14,2.55,0,2.48,51.15,32.08,51.42,24.31,8,22365,20.79
"Oregoncity,OH",403.14,18334,2.6,0,606.1,14458,0.18,8.25,0.03,0,1.11,59.01,26.98,69.47,7.67,0,34704,1.37
"Freeportcity,TX",592.34,11389,11.15,0.04,959,8900,0.14,21.4,0.72,5,15.27,57.57,26.31,52.4,24.2,0,21483,14.22
"Penntownship,PA",101.21,15945,1.18,0,507.3,13570,0.62,7.78,0,0,0.46,60.26,23.49,63.46,3.75,0,33219,0.67
"LowerMorelandtownship,PA",83.56,11768,8.83,0,1561.2,29971,5.31,2.44,0.62,0,0.31,61.62,26.63,61.54,2.33,0,60925,0.67
"Manheimtownship,PA",125.96,28880,3.39,0,1162.1,19703,1.29,7.27,0.26,0,1.06,62.04,20.84,68.51,2.42,0,41450,0.7
"SanBernardinocity,CA",3047.66,164164,15.47,0.59,2876.8,10865,1.72,12.54,3.25,828,16.01,54.27,34.9,55.83,22.79,133,25533,14.54
"WestHollywoodcity,CA",2507.51,36118,34.01,0.43,18541.1,24386,5.98,6,7.23,14,3.42,65.31,58.3,63.96,11.43,142,29314,4.88
"Rochestercity,NY",1171.84,231636,6.23,0.13,6248.1,11704,10.77,11.03,0.93,294,31.53,57.84,45.78,63.2,23.5,1,22785,2.93
"Normancity,OK",230,80071,4.32,0.04,436.6,13690,1.22,4.16,1.44,32,3.57,63.66,40.25,72.12,15.04,0,25165,2.39
"TheColonycity,TX",140.88,22113,5.06,0,1825.7,14070,0.48,2.61,0.35,0,4.77,80.02,20.03,76.89,2.85,0,42743,4.65
"Gladstonecity,OR",282.07,10152,3.4,0,4003.2,14147,3.54,4.04,0.47,0,0.46,65.17,25.94,76.94,3.89,0,32069,2.26
"Lowellcity,MA",1274.62,103439,16.43,0.22,7247.1,12701,2.95,16.6,2.53,182,2.39,58.39,42.34,64.18,17.99,50,29351,6.65
"LaPortecity,TX",384.08,27910,4.37,0,1397.2,14349,0.05,6.53,0.35,0,7.1,69.45,22.3,64.02,8.82,0,41733,6.38
"Victoriacity,TX",933.19,55076,3.23,0.02,1765,12332,0.1,15.17,0.31,7,7.94,60.19,25.84,64.34,18.88,3,25576,7.56
"Gainesvillecity,GA",1232.52,17885,8.79,0.21,760.4,14978,0.28,13.78,3.29,37,23.5,61.93,30.73,71.54,18.74,0,25689,4.96
"Yarmouthtown,MA",445.41,21174,5.19,0.06,842.7,15042,0.84,2.59,0.74,12,1.09,48.64,24.4,69.24,9.5,0,27222,1.09
"Soloncity,OH",58.37,18548,5.62,0,877,22514,0.66,3.26,0.08,0,3.37,67.82,23.37,63.55,2.48,0,54005,0.32
"Davenportcity,IA",1565.55,95333,2.46,0.14,1499.7,12557,1.06,7.16,0.44,107,7.89,61.58,30.8,69.95,15.59,31,26218,1.99
"Raleighcity,NC",842.7,207951,5.02,0.1,2277.5,16896,2.79,4.77,1.33,215,27.58,68.92,42.21,72.95,11.8,2,32451,2.62
"Rexburgcity,ID",53.73,14302,5.03,0,3247.5,6599,0.5,4.7,3.17,0,0.29,43.97,58.39,60.28,41.77,0,19183,21.71
"Camdencity,NJ",3530.78,87492,3.93,0.47,9575.4,7276,18.34,20.02,1.01,293,56.42,46.1,51.26,54.73,36.56,122,17386,15.24
"Cranberrytownship,PA",6.64,14816,1.49,0,627.3,16494,0.53,1.97,0.18,0,0.47,71.33,22.18,63.18,2.54,0,41006,0.62
"ElMontecity,CA",1318.6,106209,48.42,0.41,10789.2,8056,6.47,31.87,10.38,287,0.99,58.34,42.66,51.27,22.51,152,28034,42.63
"Hudsontown,NH",91.21,19530,4.66,0,666.9,17678,0.4,5.18,0.51,0,0.56,75.22,27.48,78,2.89,0,47859,1.57
"Austincity,TX",599.78,465622,8.51,0.12,2063.8,14295,5.04,7.84,1.81,478,12.43,67.27,43.04,73.16,17.93,60,25414,6.76
"OldBridgetownship,NJ",141.06,56475,11.76,0,1434,18859,13.8,5.02,1.52,0,3.35,70.08,29.04,63.56,3.47,0,47482,2.31
"Hannibalcity,MO",657.14,18004,0.82,0,1534.6,10050,0.54,12.73,0.31,0,6.34,54.03,23.84,69.7,19.21,0,20095,2.42
"Greenwoodcity,SC",2885.57,20807,1.2,0.06,1592.2,9717,0.1,19,0.11,9,43.14,54.49,35.15,73.51,22.9,3,18683,4.79
"Snydercity,TX",750.73,12195,2.71,0,1504.8,10362,0.28,15.22,0.38,0,4.18,54.69,22.83,59.71,18.61,0,23497,7.06
"TarponSpringscity,FL",985.82,17906,10.66,0.03,1990.4,13557,0.67,8.74,0.7,5,8.04,48.87,22.29,65.91,10.82,0,25380,2.57
"Keizercity,OR",142.09,21884,4.49,0.01,2914.8,13120,1.03,7.05,0.43,0,0.5,64.43,23.09,77.92,7.05,2,31063,3.44
